player_id,uniform_number,name,team,position,birth_day,height,weight,school,player_id,평균자책점,경기,완투,완봉,승리,패배,세이브,홀드,승률,타자수,투구수,이닝,피안타,2루타,3루타,홈런,희생번트,희생플라이,볼넷,고의4구,삼진,폭투,보크,실점,자책점,블론세이브,이닝당 출루허용률,피안타율,퀄리티스타트
54645,49.0,김민주,KIA,투수,2002-09-08,182,85,서울청담초(성동구리틀)-건대부중-배명고-강릉영동대,54645,12.0,3,0,0,0,0,0,0,0.0,17,54,3.0,4,1,1,0,0,1,2,0,2,0,0,4,4,0,2.0,0.333,0
54702,48.0,원종혁,한화,투수,2005-08-27,184,92,서울도곡초-휘문중-구리인창고,54702,16.2,2,0,0,0,0,0,0,0.0,10,37,1.6666666666666667,3,0,0,1,0,1,2,0,1,0,0,3,3,0,3.0,0.429,0
54729,29.0,황준서,한화,투수,2005-08-22,185,78,면일초(중랑구리틀)-상명중-장충고,54729,5.3,23,0,0,2,8,0,0,0.2,242,1012,56.0,54,11,4,7,0,2,26,2,57,1,0,37,33,0,1.43,0.255,2
54755,55.0,와이스,한화,투수,1996-12-10,193,95,미국 Wright State(대),54755,2.87,30,0,0,16,5,0,0,0.762,725,2837,178.66666666666666,127,30,1,13,4,6,56,0,207,5,2,63,57,0,1.02,0.197,21
54768,68.0,조동욱,한화,투수,2004-11-02,190,82,소래초-영남중-장충고,54768,4.05,68,0,0,3,3,2,5,0.5,283,1068,60.0,77,16,0,4,2,2,29,3,43,7,1,29,27,1,1.77,0.313,0
54802,66.0,박기호,SSG,투수,2005-07-26,184,80,샛별초(청주시리틀)-현도중-청주고,54802,3.0,18,0,0,0,0,0,2,0.0,110,451,24.0,23,2,0,3,3,1,12,1,13,2,0,10,8,0,1.46,0.267,0
54803,40.0,최현석,SSG,투수,2003-10-16,185,90,서흥초-동산중-동산고-부산과학기술대,54803,6.23,13,0,0,0,0,0,0,0.0,77,290,17.333333333333332,21,2,0,5,0,0,6,0,11,1,0,13,12,0,1.56,0.304,0
54833,33.0,앤더슨,SSG,투수,1994-03-22,194,83,미국 Galena(고),54833,2.25,30,0,0,12,7,0,0,0.632,694,2792,171.66666666666666,121,17,1,13,3,3,51,1,245,10,0,53,43,0,1.0,0.193,17
54900,28.0,임상현,NC,투수,2005-07-16,184,89,김천신일초(김천시리틀)-상원중-대구상원고,54900,18.0,1,0,0,0,0,0,0,0.0,8,34,1.0,2,1,0,0,0,0,3,0,0,0,0,2,2,0,5.0,0.4,0
54903,48.0,최우석,NC,투수,2005-03-31,190,90,서흥초-동인천중-비봉고,54903,8.16,12,0,0,0,0,0,0,0.0,75,282,14.333333333333334,23,5,0,1,1,1,9,0,15,5,0,16,13,0,2.23,0.359,0
54904,46.0,손주환,NC,투수,2002-01-05,177,85,영천초-신정중-물금고-동아대,54904,4.35,52,0,0,6,1,0,7,0.857,224,807,51.666666666666664,53,5,0,5,1,2,19,0,37,0,0,29,25,0,1.39,0.264,0
54913,63.0,김민규,NC,투수,2001-09-07,183,84,광주서석초-진흥중-광주동성고-경성대,54913,7.71,7,0,0,0,0,0,1,0.0,23,96,4.666666666666667,5,2,0,0,0,1,4,1,2,0,0,4,4,0,1.93,0.278,0
55032,32.0,패트릭,KT,투수,1995-06-10,196,96,미국 Hamilton(고),55032,3.12,15,0,0,3,3,0,2,0.5,267,992,60.666666666666664,63,10,2,2,1,0,21,0,45,5,0,26,21,0,1.38,0.259,2
55040,40.0,김동현,KT,투수,2006-01-21,193,97,신천초(고양덕양구리틀)-잠신중-서울고,55040,13.5,3,0,0,0,0,0,0,0.0,19,66,3.3333333333333335,7,0,0,2,0,0,3,0,4,3,0,5,5,0,3.0,0.438,0
55043,43.0,김재원,KT,투수,2006-08-21,190,90,서울청구초-홍은중-장충고,55043,10.38,4,0,0,0,0,0,0,0.0,24,99,4.333333333333333,3,1,0,0,0,1,8,0,4,3,0,5,5,0,2.54,0.214,0
55046,46.0,박건우,KT,투수,2006-11-28,182,95,서울행당초(성동구유소년야구단)-충암중-충암고,55046,2.7,6,0,0,0,0,0,0,0.0,28,117,6.666666666666667,4,0,0,1,0,0,4,0,9,0,0,2,2,0,1.2,0.167,0
55121,19.0,박시원,LG,투수,2006-04-12,193,93,송수초(해운대리틀)-센텀중-경남고,55121,13.5,2,0,0,0,0,0,0,0.0,9,35,1.3333333333333333,0,0,0,0,0,0,5,0,0,0,0,2,2,0,3.75,0.0,0
55122,49.0,김종운,LG,투수,2006-09-11,186,85,국산초(거제시리틀)-동강중-창원공고야구단,55122,5.4,2,0,0,0,0,0,0,0.0,7,31,1.6666666666666667,2,0,0,2,0,0,0,0,2,0,0,3,1,0,1.2,0.286,0
55130,30.0,톨허스트,LG,투수,1999-09-13,193,86,미국 Grossmont(고),55130,2.86,8,0,0,6,2,0,0,0.75,184,713,44.0,39,7,1,2,1,1,16,1,45,1,0,15,14,0,1.25,0.238,5
55138,,코엔 윈,LG,투수,1999-01-25,193,86,호주 Grand Canyon(대)-LG,55138,7.04,5,0,0,1,1,0,0,0.5,107,408,23.0,28,7,0,4,2,1,4,0,8,0,0,19,18,0,1.39,0.295,1
55146,46.0,치리노스,LG,투수,1993-12-26,188,102,베네수엘라 U.E.N heroes nigales(고),55146,3.31,30,0,0,13,6,0,0,0.684,737,2809,177.0,173,26,1,5,8,1,36,0,137,4,0,71,65,0,1.18,0.253,17
55167,67.0,김영우,LG,투수,2005-01-14,185,90,양원초(서대문구리틀)-신월중-서울고,55167,2.4,66,0,0,3,2,1,7,0.6,255,957,60.0,49,13,0,2,5,2,30,2,56,5,0,17,16,3,1.32,0.228,0
55215,92.0,양재훈,두산,투수,2003-05-01,186,89,부산수영초-사직중-개성고-동의과학대,55215,4.24,19,0,0,0,0,1,0,0.0,93,380,23.333333333333332,19,4,0,3,0,1,8,0,19,0,0,11,11,0,1.16,0.226,0
55221,95.0,김한중,두산,투수,2004-11-03,183,89,고명초-덕수중-경기상고-여주대,55221,0.0,2,0,0,0,0,0,0,0.0,8,25,2.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.125,0
